;;;;;;;;;
;Player ;Number of Match ;Avg. KDA ;Kill Participation ;Win rate ;Total Kill;Total Death;Total Assist;Team Win
Region Indonesia;Adam ;33;2,07;0,17;0,23;64;98;139;9
;Ahmad ;30;2,40;0,19;0,61;123;131;191;21
;Alberttt ;31;5,54;0,23;0,71;222;85;249;22
;Antimage ;32;2,60;0,15;0,56;94;95;153;18
;B1RUL;32;1,72;0,21;0,19;121;145;128;7
;BabyWWW;5;2,72;0,21;0,20;22;18;27;9
;Barbossa;4;0,89;0,19;0,25;0;18;16;16
;Bottle;13;4,50;0,21;0,62;64;30;71;16
;Branz;29;3,67;0,22;0,45;138;84;170;16
;Butsss;35;6,42;0,16;0,67;105;48;203;24
;Celiboy;35;3,69;0,22;0,64;192;114;229;21
;Ch4kim;1;0,75;0,15;0,00;2;8;4;18
;CLAY;31;5,19;0,22;0,71;134;85;307;22
;Clover;29;2,89;0,18;0,55;88;87;163;18
;CW;31;2,74;0,18;0,66;112;115;203;24
;Dilann;12;1,76;0,17;0,25;27;45;52;9
;DreamS;3;2,58;0,24;0,33;4;12;27;16
;Drian;35;4,75;0,20;0,67;130;80;250;24
;FACEHUGGER;35;3,22;0,21;0,51;115;122;278;18
;Ferxiic;32;4,01;0,22;0,56;168;88;185;18
;Frzz;33;2,38;0,22;0,23;90;116;186;9
;god1va;35;2,14;0,21;0,51;58;175;317;18
;H i g h;18;3,68;0,22;0,56;76;63;156;18
;Hanz;28;2,92;0,23;0,24;125;79;106;9
;HuBa;34;2,07;0,23;0,19;73;134;204;7
;JiiSaa;24;2,21;0,21;0,19;73;75;93;7
;JLONOTWOW;10;1,61;0,12;0,20;16;36;42;7
;Kabuki;35;3,82;0,19;0,51;149;92;202;18
;Kiboy;35;3,35;0,23;0,67;58;126;364;24
;Kyy;28;2,87;0,23;0,50;46;108;264;16
;LeoMurphy;16;2,57;0,20;0,63;29;70;151;21
;LJ;2;1,92;0,16;1,00;3;13;22;18
;Luminaire;10;2,95;0,22;0,60;33;40;85;18
;Matt;28;2,71;0,20;0,39;106;87;130;16
;N i n o;35;3,33;0,19;0,64;161;109;202;21
